väittämä,yliopisto,tilastovuosi,Vastaajamäärä (maisterit),Keskiarvo (maisterit),Pisteet (maisterit)
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Vaasan yliopisto,2017,137,2.9,66
26)  itseohjautuvuus/oma-aloitteisuus,Vaasan yliopisto,2017,142,4.5,107
27)  yrittäjyystaidot,Vaasan yliopisto,2017,142,2.3,54
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Åbo Akademi,2017,156,4.5,698
"3)  analyyttiset, systemaattisen ajattelun taidot",Åbo Akademi,2017,151,4.6,117
d)  Koulutus antoi riittävät valmiudet työelämään.,Åbo Akademi,2017,159,3.8,604
4)  tiedonhankintataidot,Åbo Akademi,2017,151,4.5,114
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Åbo Akademi,2017,156,4.5,706
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Åbo Akademi,2017,160,4.7,751
21)  kyky oppia ja omaksua uutta,Åbo Akademi,2017,151,4.8,121
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Åbo Akademi,2017,151,3.5,89
26)  itseohjautuvuus/oma-aloitteisuus,Åbo Akademi,2017,151,4.2,105
27)  yrittäjyystaidot,Åbo Akademi,2017,128,2,42
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Aalto-yliopisto,2018,527,4.6,2416
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Aalto-yliopisto,2018,528,4.8,2541
3.4 Koulutus antoi riittävät valmiudet työelämään.,Aalto-yliopisto,2018,539,4.2,2265
"3) analyyttiset, systemaattisen ajattelun taidot",Aalto-yliopisto,2018,528,4.7,417
4) tiedonhankintataidot,Aalto-yliopisto,2018,530,4.7,411
4. Miten tyytyväinen olet kokonaisuudessaan vuonna 2013 suorittamaasi tutkintoon työurasi kannalta?,Aalto-yliopisto,2018,539,4.7,2541
21) kyky oppia ja omaksua uutta,Aalto-yliopisto,2018,526,4.9,430
23) tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Aalto-yliopisto,2018,527,3.2,281
26) itseohjautuvuus/oma-aloitteisuus,Aalto-yliopisto,2018,526,4.4,389
27) yrittäjyystaidot,Aalto-yliopisto,2018,520,2.2,194
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Helsingin yliopisto,2018,1201,4.5,5469
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Helsingin yliopisto,2018,1200,4.6,5585
3.4 Koulutus antoi riittävät valmiudet työelämään.,Helsingin yliopisto,2018,1235,3.8,4727
"3) analyyttiset, systemaattisen ajattelun taidot",Helsingin yliopisto,2018,1211,4.7,946
4) tiedonhankintataidot,Helsingin yliopisto,2018,1213,4.7,955
4. Miten tyytyväinen olet kokonaisuudessaan vuonna 2013 suorittamaasi tutkintoon työurasi kannalta?,Helsingin yliopisto,2018,1235,4.4,5502
21) kyky oppia ja omaksua uutta,Helsingin yliopisto,2018,1201,4.7,952
23) tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Helsingin yliopisto,2018,1200,3,600
26) itseohjautuvuus/oma-aloitteisuus,Helsingin yliopisto,2018,1208,4.4,882
27) yrittäjyystaidot,Helsingin yliopisto,2018,1186,1.7,328
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Itä-Suomen yliopisto,2018,639,4.6,2970
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Itä-Suomen yliopisto,2018,641,4.7,2987
3.4 Koulutus antoi riittävät valmiudet työelämään.,Itä-Suomen yliopisto,2018,653,4.1,2660
"3) analyyttiset, systemaattisen ajattelun taidot",Itä-Suomen yliopisto,2018,648,4.5,488
4) tiedonhankintataidot,Itä-Suomen yliopisto,2018,644,4.7,504
4. Miten tyytyväinen olet kokonaisuudessaan vuonna 2013 suorittamaasi tutkintoon työurasi kannalta?,Itä-Suomen yliopisto,2018,654,4.6,3030
21) kyky oppia ja omaksua uutta,Itä-Suomen yliopisto,2018,645,4.6,499
23) tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Itä-Suomen yliopisto,2018,642,3.1,329
26) itseohjautuvuus/oma-aloitteisuus,Itä-Suomen yliopisto,2018,643,4.4,475
27) yrittäjyystaidot,Itä-Suomen yliopisto,2018,644,2,211
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Jyväskylän yliopisto,2018,627,4.5,2819
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Jyväskylän yliopisto,2018,624,4.6,2853
3.4 Koulutus antoi riittävät valmiudet työelämään.,Jyväskylän yliopisto,2018,643,3.9,2486
"3) analyyttiset, systemaattisen ajattelun taidot",Jyväskylän yliopisto,2018,632,4.6,484
4) tiedonhankintataidot,Jyväskylän yliopisto,2018,631,4.7,491
4. Miten tyytyväinen olet kokonaisuudessaan vuonna 2013 suorittamaasi tutkintoon työurasi kannalta?,Jyväskylän yliopisto,2018,643,4.5,2904
21) kyky oppia ja omaksua uutta,Jyväskylän yliopisto,2018,629,4.8,502
23) tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Jyväskylän yliopisto,2018,630,3.2,336
26) itseohjautuvuus/oma-aloitteisuus,Jyväskylän yliopisto,2018,634,4.6,483
27) yrittäjyystaidot,Jyväskylän yliopisto,2018,629,1.9,196
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Lapin yliopisto,2018,163,4.5,737
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Lapin yliopisto,2018,162,4.6,742
3.4 Koulutus antoi riittävät valmiudet työelämään.,Lapin yliopisto,2018,166,3.8,633
"3) analyyttiset, systemaattisen ajattelun taidot",Lapin yliopisto,2018,164,4.4,120
4) tiedonhankintataidot,Lapin yliopisto,2018,164,4.6,125
4. Miten tyytyväinen olet kokonaisuudessaan vuonna 2013 suorittamaasi tutkintoon työurasi kannalta?,Lapin yliopisto,2018,168,4.6,777
21) kyky oppia ja omaksua uutta,Lapin yliopisto,2018,163,4.7,127
23) tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Lapin yliopisto,2018,163,3.2,87
26) itseohjautuvuus/oma-aloitteisuus,Lapin yliopisto,2018,164,4.6,125
27) yrittäjyystaidot,Lapin yliopisto,2018,161,2,54
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Lappeenrannan-Lahden teknillinen yliopisto,2018,228,4.4,1009
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Lappeenrannan-Lahden teknillinen yliopisto,2018,228,4.6,1052
3.4 Koulutus antoi riittävät valmiudet työelämään.,Lappeenrannan-Lahden teknillinen yliopisto,2018,231,4.2,978
"3) analyyttiset, systemaattisen ajattelun taidot",Lappeenrannan-Lahden teknillinen yliopisto,2018,227,4.7,178
4) tiedonhankintataidot,Lappeenrannan-Lahden teknillinen yliopisto,2018,227,4.9,185
4. Miten tyytyväinen olet kokonaisuudessaan vuonna 2013 suorittamaasi tutkintoon työurasi kannalta?,Lappeenrannan-Lahden teknillinen yliopisto,2018,231,4.8,1111
21) kyky oppia ja omaksua uutta,Lappeenrannan-Lahden teknillinen yliopisto,2018,225,4.8,179
23) tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Lappeenrannan-Lahden teknillinen yliopisto,2018,226,3.2,120
26) itseohjautuvuus/oma-aloitteisuus,Lappeenrannan-Lahden teknillinen yliopisto,2018,225,4.6,171
27) yrittäjyystaidot,Lappeenrannan-Lahden teknillinen yliopisto,2018,223,2.5,91
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Oulun yliopisto,2018,515,4.6,2354
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Oulun yliopisto,2018,516,4.7,2414
3.4 Koulutus antoi riittävät valmiudet työelämään.,Oulun yliopisto,2018,527,4,2108
"3) analyyttiset, systemaattisen ajattelun taidot",Oulun yliopisto,2018,519,4.5,390
4) tiedonhankintataidot,Oulun yliopisto,2018,519,4.6,400
4. Miten tyytyväinen olet kokonaisuudessaan vuonna 2013 suorittamaasi tutkintoon työurasi kannalta?,Oulun yliopisto,2018,526,4.6,2396
21) kyky oppia ja omaksua uutta,Oulun yliopisto,2018,517,4.7,409
23) tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Oulun yliopisto,2018,517,3.1,269
26) itseohjautuvuus/oma-aloitteisuus,Oulun yliopisto,2018,514,4.4,379
27) yrittäjyystaidot,Oulun yliopisto,2018,517,1.9,164
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Svenska handelshögskolan,2018,82,4.4,358
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Svenska handelshögskolan,2018,82,4.6,378
3.4 Koulutus antoi riittävät valmiudet työelämään.,Svenska handelshögskolan,2018,84,4.1,345
"3) analyyttiset, systemaattisen ajattelun taidot",Svenska handelshögskolan,2018,84,4.7,66
4) tiedonhankintataidot,Svenska handelshögskolan,2018,84,4.4,62
4. Miten tyytyväinen olet kokonaisuudessaan vuonna 2013 suorittamaasi tutkintoon työurasi kannalta?,Svenska handelshögskolan,2018,84,4.8,402
21) kyky oppia ja omaksua uutta,Svenska handelshögskolan,2018,83,4.7,65
23) tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Svenska handelshögskolan,2018,84,3.3,46
26) itseohjautuvuus/oma-aloitteisuus,Svenska handelshögskolan,2018,84,4.3,59
27) yrittäjyystaidot,Svenska handelshögskolan,2018,73,3,36
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Taideyliopisto,2018,72,4.8,345
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Taideyliopisto,2018,73,4.5,325
3.4 Koulutus antoi riittävät valmiudet työelämään.,Taideyliopisto,2018,75,4.1,306
"3) analyyttiset, systemaattisen ajattelun taidot",Taideyliopisto,2018,75,3.9,49
4) tiedonhankintataidot,Taideyliopisto,2018,75,3.4,43
4. Miten tyytyväinen olet kokonaisuudessaan vuonna 2013 suorittamaasi tutkintoon työurasi kannalta?,Taideyliopisto,2018,75,4.6,343
21) kyky oppia ja omaksua uutta,Taideyliopisto,2018,74,4.7,58
23) tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Taideyliopisto,2018,72,3.6,43
26) itseohjautuvuus/oma-aloitteisuus,Taideyliopisto,2018,73,4.4,53
27) yrittäjyystaidot,Taideyliopisto,2018,71,2,23
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Tampereen yliopisto,2018,726,4.5,3263
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Tampereen yliopisto,2018,726,4.7,3424
3.4 Koulutus antoi riittävät valmiudet työelämään.,Tampereen yliopisto,2018,735,4.1,3012
"3) analyyttiset, systemaattisen ajattelun taidot",Tampereen yliopisto,2018,726,4.8,576
4) tiedonhankintataidot,Tampereen yliopisto,2018,728,4.7,570
4. Miten tyytyväinen olet kokonaisuudessaan vuonna 2013 suorittamaasi tutkintoon työurasi kannalta?,Tampereen yliopisto,2018,738,4.6,3417
21) kyky oppia ja omaksua uutta,Tampereen yliopisto,2018,725,4.8,582
23) tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Tampereen yliopisto,2018,723,3,358
26) itseohjautuvuus/oma-aloitteisuus,Tampereen yliopisto,2018,723,4.5,537
27) yrittäjyystaidot,Tampereen yliopisto,2018,722,1.9,226
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Turun yliopisto,2018,607,4.5,2720
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Turun yliopisto,2018,604,4.6,2790
3.4 Koulutus antoi riittävät valmiudet työelämään.,Turun yliopisto,2018,623,3.8,2365
"3) analyyttiset, systemaattisen ajattelun taidot",Turun yliopisto,2018,617,4.6,478
4) tiedonhankintataidot,Turun yliopisto,2018,619,4.7,484
4. Miten tyytyväinen olet kokonaisuudessaan vuonna 2013 suorittamaasi tutkintoon työurasi kannalta?,Turun yliopisto,2018,622,4.4,2766
21) kyky oppia ja omaksua uutta,Turun yliopisto,2018,615,4.7,481
23) tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Turun yliopisto,2018,616,3,303
26) itseohjautuvuus/oma-aloitteisuus,Turun yliopisto,2018,618,4.4,458
27) yrittäjyystaidot,Turun yliopisto,2018,615,1.9,197
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Vaasan yliopisto,2018,139,4.4,611
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Vaasan yliopisto,2018,139,4.5,623
3.4 Koulutus antoi riittävät valmiudet työelämään.,Vaasan yliopisto,2018,140,4.2,589
"3) analyyttiset, systemaattisen ajattelun taidot",Vaasan yliopisto,2018,140,4.8,112
4) tiedonhankintataidot,Vaasan yliopisto,2018,140,4.8,113
4. Miten tyytyväinen olet kokonaisuudessaan vuonna 2013 suorittamaasi tutkintoon työurasi kannalta?,Vaasan yliopisto,2018,141,4.6,652
21) kyky oppia ja omaksua uutta,Vaasan yliopisto,2018,140,4.8,112
23) tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Vaasan yliopisto,2018,139,3.2,74
26) itseohjautuvuus/oma-aloitteisuus,Vaasan yliopisto,2018,140,4.6,106
27) yrittäjyystaidot,Vaasan yliopisto,2018,139,2.4,56
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Åbo Akademi,2018,197,4.4,863
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Åbo Akademi,2018,196,4.4,864
3.4 Koulutus antoi riittävät valmiudet työelämään.,Åbo Akademi,2018,202,3.8,760
"3) analyyttiset, systemaattisen ajattelun taidot",Åbo Akademi,2018,201,4.3,144
4) tiedonhankintataidot,Åbo Akademi,2018,201,4.2,141
