yliopisto,JUFO-taso,tilastovuosi,lkm
Vaasan yliopisto,2,2016,42
Åbo Akademi,2,2016,235
Aalto-yliopisto,3,2016,363
Helsingin yliopisto,3,2016,873
Itä-Suomen yliopisto,3,2016,229
Jyväskylän yliopisto,3,2016,164
Lapin yliopisto,3,2016,22
Lappeenrannan-Lahden teknillinen yliopisto,3,2016,41
Oulun yliopisto,3,2016,225
Svenska handelshögskolan,3,2016,21
Taideyliopisto,3,2016,7
Tampereen yliopisto,3,2016,264
Turun yliopisto,3,2016,315
Vaasan yliopisto,3,2016,19
Åbo Akademi,3,2016,68
Aalto-yliopisto,0,2015,480
Helsingin yliopisto,0,2015,564
Itä-Suomen yliopisto,0,2015,180
Jyväskylän yliopisto,0,2015,208
Lapin yliopisto,0,2015,69
Lappeenrannan-Lahden teknillinen yliopisto,0,2015,165
Oulun yliopisto,0,2015,231
Svenska handelshögskolan,0,2015,49
Taideyliopisto,0,2015,14
Tampereen yliopisto,0,2015,444
Turun yliopisto,0,2015,313
Vaasan yliopisto,0,2015,51
Åbo Akademi,0,2015,135
Aalto-yliopisto,1,2015,"1,832"
Helsingin yliopisto,1,2015,"4,143"
Itä-Suomen yliopisto,1,2015,"1,406"
Jyväskylän yliopisto,1,2015,"1,111"
Lapin yliopisto,1,2015,187
Lappeenrannan-Lahden teknillinen yliopisto,1,2015,561
Oulun yliopisto,1,2015,"1,465"
Svenska handelshögskolan,1,2015,121
Taideyliopisto,1,2015,32
Tampereen yliopisto,1,2015,"2,020"
Turun yliopisto,1,2015,"1,830"
Vaasan yliopisto,1,2015,167
Åbo Akademi,1,2015,537
Aalto-yliopisto,2,2015,866
Helsingin yliopisto,2,2015,"1,714"
Itä-Suomen yliopisto,2,2015,481
Jyväskylän yliopisto,2,2015,466
Lapin yliopisto,2,2015,42
Lappeenrannan-Lahden teknillinen yliopisto,2,2015,164
Oulun yliopisto,2,2015,483
Svenska handelshögskolan,2,2015,41
Taideyliopisto,2,2015,13
Tampereen yliopisto,2,2015,706
Turun yliopisto,2,2015,690
Vaasan yliopisto,2,2015,57
Åbo Akademi,2,2015,236
Aalto-yliopisto,3,2015,359
Helsingin yliopisto,3,2015,846
Itä-Suomen yliopisto,3,2015,178
Jyväskylän yliopisto,3,2015,182
Lapin yliopisto,3,2015,17
Lappeenrannan-Lahden teknillinen yliopisto,3,2015,28
Oulun yliopisto,3,2015,197
Svenska handelshögskolan,3,2015,20
Taideyliopisto,3,2015,7
Tampereen yliopisto,3,2015,240
Turun yliopisto,3,2015,299
Vaasan yliopisto,3,2015,12
Åbo Akademi,3,2015,67
