,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,yliopisto,tilastovuosi,JUFO-taso,lkm
0,0,0,0,156,Aalto-yliopisto,2015,0,480
1,1,1,1,157,Helsingin yliopisto,2015,0,564
2,2,2,2,158,Itä-Suomen yliopisto,2015,0,180
3,3,3,3,159,Jyväskylän yliopisto,2015,0,208
4,4,4,4,160,Lapin yliopisto,2015,0,69
5,5,5,5,161,Lappeenrannan-Lahden teknillinen yliopisto,2015,0,165
6,6,6,6,162,Oulun yliopisto,2015,0,231
7,7,7,7,163,Svenska handelshögskolan,2015,0,49
8,8,8,8,164,Taideyliopisto,2015,0,14
9,9,9,9,165,Tampereen yliopisto,2015,0,444
10,10,10,10,166,Turun yliopisto,2015,0,313
11,11,11,11,167,Vaasan yliopisto,2015,0,51
12,12,12,12,168,Åbo Akademi,2015,0,135
13,13,13,13,104,Aalto-yliopisto,2016,0,447
14,14,14,14,105,Helsingin yliopisto,2016,0,567
15,15,15,15,106,Itä-Suomen yliopisto,2016,0,198
16,16,16,16,107,Jyväskylän yliopisto,2016,0,162
17,17,17,17,108,Lapin yliopisto,2016,0,60
18,18,18,18,109,Lappeenrannan-Lahden teknillinen yliopisto,2016,0,178
19,19,19,19,110,Oulun yliopisto,2016,0,204
20,20,20,20,111,Svenska handelshögskolan,2016,0,37
21,21,21,21,112,Taideyliopisto,2016,0,13
22,22,22,22,113,Tampereen yliopisto,2016,0,316
23,23,23,23,114,Turun yliopisto,2016,0,278
24,24,24,24,115,Vaasan yliopisto,2016,0,56
25,25,25,25,116,Åbo Akademi,2016,0,99
26,26,26,26,52,Aalto-yliopisto,2017,0,315
27,27,27,27,53,Helsingin yliopisto,2017,0,473
28,28,28,28,54,Itä-Suomen yliopisto,2017,0,146
29,29,29,29,55,Jyväskylän yliopisto,2017,0,128
30,30,30,30,56,Lapin yliopisto,2017,0,59
31,31,31,31,57,Lappeenrannan-Lahden teknillinen yliopisto,2017,0,123
32,32,32,32,58,Oulun yliopisto,2017,0,179
33,33,33,33,59,Svenska handelshögskolan,2017,0,20
34,34,34,34,60,Taideyliopisto,2017,0,20
35,35,35,35,61,Tampereen yliopisto,2017,0,258
36,36,36,36,62,Turun yliopisto,2017,0,228
37,37,37,37,63,Vaasan yliopisto,2017,0,35
38,38,38,38,64,Åbo Akademi,2017,0,102
39,39,39,39,0,Aalto-yliopisto,2018,0,232
40,40,40,40,1,Helsingin yliopisto,2018,0,436
41,41,41,41,2,Itä-Suomen yliopisto,2018,0,103
42,42,42,42,3,Jyväskylän yliopisto,2018,0,95
