,metric,yliopisto,tilastovuosi,Keskiarvo
160,Career benefit,Jyväskylän yliopisto,2018,4.5
161,Job challenge,Jyväskylän yliopisto,2018,4.6
162,Career benefit,Jyväskylän yliopisto,2018,3.9
163,,Jyväskylän yliopisto,2018,4.6
164,Learning & thinking skills,Jyväskylän yliopisto,2018,4.7
165,Career benefit,Jyväskylän yliopisto,2018,4.5
166,,Jyväskylän yliopisto,2018,4.8
167,Interdisciplinary capability,Jyväskylän yliopisto,2018,3.2
168,,Jyväskylän yliopisto,2018,4.6
169,,Jyväskylän yliopisto,2018,1.9
170,Career benefit,Lapin yliopisto,2018,4.5
171,Job challenge,Lapin yliopisto,2018,4.6
172,Career benefit,Lapin yliopisto,2018,3.8
173,,Lapin yliopisto,2018,4.4
174,Learning & thinking skills,Lapin yliopisto,2018,4.6
175,Career benefit,Lapin yliopisto,2018,4.6
176,,Lapin yliopisto,2018,4.7
177,Interdisciplinary capability,Lapin yliopisto,2018,3.2
178,,Lapin yliopisto,2018,4.6
179,,Lapin yliopisto,2018,2.0
180,Career benefit,Lappeenrannan-Lahden teknillinen yliopisto,2018,4.4
181,Job challenge,Lappeenrannan-Lahden teknillinen yliopisto,2018,4.6
182,Career benefit,Lappeenrannan-Lahden teknillinen yliopisto,2018,4.2
183,,Lappeenrannan-Lahden teknillinen yliopisto,2018,4.7
184,Learning & thinking skills,Lappeenrannan-Lahden teknillinen yliopisto,2018,4.9
185,Career benefit,Lappeenrannan-Lahden teknillinen yliopisto,2018,4.8
186,,Lappeenrannan-Lahden teknillinen yliopisto,2018,4.8
187,Interdisciplinary capability,Lappeenrannan-Lahden teknillinen yliopisto,2018,3.2
188,,Lappeenrannan-Lahden teknillinen yliopisto,2018,4.6
189,,Lappeenrannan-Lahden teknillinen yliopisto,2018,2.5
190,Career benefit,Oulun yliopisto,2018,4.6
191,Job challenge,Oulun yliopisto,2018,4.7
192,Career benefit,Oulun yliopisto,2018,4.0
193,,Oulun yliopisto,2018,4.5
194,Learning & thinking skills,Oulun yliopisto,2018,4.6
195,Career benefit,Oulun yliopisto,2018,4.6
196,,Oulun yliopisto,2018,4.7
197,Interdisciplinary capability,Oulun yliopisto,2018,3.1
198,,Oulun yliopisto,2018,4.4
199,,Oulun yliopisto,2018,1.9
200,Career benefit,Svenska handelshögskolan,2018,4.4
201,Job challenge,Svenska handelshögskolan,2018,4.6
202,Career benefit,Svenska handelshögskolan,2018,4.1
203,,Svenska handelshögskolan,2018,4.7
204,Learning & thinking skills,Svenska handelshögskolan,2018,4.4
205,Career benefit,Svenska handelshögskolan,2018,4.8
206,,Svenska handelshögskolan,2018,4.7
207,Interdisciplinary capability,Svenska handelshögskolan,2018,3.3
208,,Svenska handelshögskolan,2018,4.3
209,,Svenska handelshögskolan,2018,3.0
210,Career benefit,Taideyliopisto,2018,4.8
211,Job challenge,Taideyliopisto,2018,4.5
212,Career benefit,Taideyliopisto,2018,4.1
213,,Taideyliopisto,2018,3.9
214,Learning & thinking skills,Taideyliopisto,2018,3.4
215,Career benefit,Taideyliopisto,2018,4.6
216,,Taideyliopisto,2018,4.7
217,Interdisciplinary capability,Taideyliopisto,2018,3.6
218,,Taideyliopisto,2018,4.4
219,,Taideyliopisto,2018,2.0
220,Career benefit,Tampereen yliopisto,2018,4.5
221,Job challenge,Tampereen yliopisto,2018,4.7
222,Career benefit,Tampereen yliopisto,2018,4.1
223,,Tampereen yliopisto,2018,4.8
224,Learning & thinking skills,Tampereen yliopisto,2018,4.7
225,Career benefit,Tampereen yliopisto,2018,4.6
226,,Tampereen yliopisto,2018,4.8
227,Interdisciplinary capability,Tampereen yliopisto,2018,3.0
228,,Tampereen yliopisto,2018,4.5
229,,Tampereen yliopisto,2018,1.9
230,Career benefit,Turun yliopisto,2018,4.5
231,Job challenge,Turun yliopisto,2018,4.6
232,Career benefit,Turun yliopisto,2018,3.8
233,,Turun yliopisto,2018,4.6
234,Learning & thinking skills,Turun yliopisto,2018,4.7
235,Career benefit,Turun yliopisto,2018,4.4
236,,Turun yliopisto,2018,4.7
237,Interdisciplinary capability,Turun yliopisto,2018,3.0
238,,Turun yliopisto,2018,4.4
239,,Turun yliopisto,2018,1.9
240,Career benefit,Vaasan yliopisto,2018,4.4
241,Job challenge,Vaasan yliopisto,2018,4.5
242,Career benefit,Vaasan yliopisto,2018,4.2
243,,Vaasan yliopisto,2018,4.8
244,Learning & thinking skills,Vaasan yliopisto,2018,4.8
245,Career benefit,Vaasan yliopisto,2018,4.6
246,,Vaasan yliopisto,2018,4.8
247,Interdisciplinary capability,Vaasan yliopisto,2018,3.2
248,,Vaasan yliopisto,2018,4.6
249,,Vaasan yliopisto,2018,2.4
250,Career benefit,Åbo Akademi,2018,4.4
251,Job challenge,Åbo Akademi,2018,4.4
252,Career benefit,Åbo Akademi,2018,3.8
253,,Åbo Akademi,2018,4.3
254,Learning & thinking skills,Åbo Akademi,2018,4.2
255,Career benefit,Åbo Akademi,2018,4.6
256,,Åbo Akademi,2018,4.7
257,Interdisciplinary capability,Åbo Akademi,2018,3.4
258,,Åbo Akademi,2018,4.1
259,,Åbo Akademi,2018,2.0
